"scenario_id","repetition","system","error","actions","false_outreach","missed_followup","model_calls","input_tokens","output_tokens","total_tokens","cost_usd","latency_ms"
"s15-four-intents-compete","1","baseline","","{""s15-job"":[""resolve""],""s15-exam"":[""defer"",""resolve""],""s15-project"":[""contact""],""s15-parcel"":[""resolve""]}","0","0","4","2945","1632","4577","","36272.43350000004"
"s16-two-intents-one-cancelled","1","wakeintent","","{""s16-a"":[""cancel""],""s16-b"":[""cancel""]}","0","1","2","1007","1918","2925","","39101.92350000003"
"s16-two-intents-one-cancelled","1","baseline","","{""s16-a"":[""cancel""],""s16-b"":[""contact""]}","0","0","3","1258","1600","2858","","35084.45270000002"
"s17-similar-learning-update","1","wakeintent","","{""s17-plan"":[""contact""]}","0","0","5","2384","1348","3732","","32466.564900000114"
"s17-similar-learning-update","1","baseline","","{""s17-plan"":[""cancel""]}","0","1","2","725","2030","2755","","40321.41689999995"
"s18-similar-content-negative","1","wakeintent","","{}","0","0","2","941","141","1082","","5898.200500000035"
"s18-similar-content-negative","1","baseline","","{}","0","0","1","269","58","327","","2611.096099999966"
"s19-vague-no-new-reason","1","wakeintent","","{}","0","0","1","468","83","551","","3232.1366000000853"
"s19-vague-no-new-reason","1","baseline","","{""s19-plan"":[""silent""]}","0","0","2","702","1120","1822","","23360.511300000013"
"s20-unanswered-outreach","1","wakeintent","","{""s20-plan"":[""silent""]}","0","0","4","2143","1693","3836","","37515.542400000035"
"s20-unanswered-outreach","1","baseline","","{""s20-plan"":[""silent""]}","0","0","2","770","1226","1996","","26781.1642"
"s01-normal-job-followup","2","wakeintent","","{""s01-plan"":[""contact""]}","0","0","3","1241","1173","2414","","27094.750699999975"
"s01-normal-job-followup","2","baseline","","{""s01-plan"":[""contact""]}","0","0","3","942","590","1532","","16971.953499999945"
"s02-normal-exam-followup","2","wakeintent","","{""s02-plan"":[""contact""]}","0","0","3","1256","782","2038","","22016.722899999997"
"s02-normal-exam-followup","2","baseline","","{""s02-plan"":[""contact""]}","0","0","3","934","686","1620","","17738.9024"
"s03-result-known-early","2","wakeintent","","{""s03-plan"":[""resolve""]}","0","0","3","1425","756","2181","","21617.8064"
"s03-result-known-early","2","baseline","","{""s03-plan"":[""resolve""]}","0","0","2","719","450","1169","","11903.389900000002"
"s04-task-completed-early","2","wakeintent","","{""s04-plan"":[""resolve""]}","0","0","2","937","653","1590","","16571.290900000007"
"s04-task-completed-early","2","baseline","","{""s04-plan"":[""resolve""]}","0","0","2","718","557","1275","","14914.991200000004"
"s05-explicit-cancel","2","wakeintent","","{""s05-plan"":[""cancel""]}","0","0","2","935","580","1515","","14625.985199999996"
"s05-explicit-cancel","2","baseline","","{""s05-plan"":[""cancel""]}","0","0","2","712","313","1025","","10485.947"
"s06-topic-specific-cancel","2","wakeintent","","{""s06-plan"":[""cancel""]}","0","0","2","940","620","1560","","14683.555900000007"
"s06-topic-specific-cancel","2","baseline","","{""s06-plan"":[""cancel""]}","0","0","2","716","452","1168","","11985.558699999994"
"s07-living-demo-busy-then-free","2","wakeintent","","{""s07-plan"":[""defer"",""contact""]}","0","0","4","2096","1287","3383","","37702.56939999998"
"s07-living-demo-busy-then-free","2","baseline","","{""s07-plan"":[""defer"",""contact""]}","0","0","4","1761","1592","3353","","37146.6415"
"s08-user-busy-then-available","2","wakeintent","","{""s08-plan"":[""defer"",""contact""]}","0","0","4","2051","1303","3354","","54374.61090000003"
"s08-user-busy-then-available","2","baseline","","{""s08-plan"":[""defer"",""contact""]}","0","0","4","1643","1088","2731","","27585.971299999976"
"s09-trip-expired","2","wakeintent","","{""s09-plan"":[""expire""]}","0","0","1","459","1745","2204","","33663.92220000003"
"s09-trip-expired","2","baseline","","{""s09-plan"":[""expire""]}","0","0","2","673","1084","1757","","26398.395900000003"
"s10-event-lost-meaning","2","wakeintent","","{""s10-plan"":[""expire""]}","0","0","2","989","1247","2236","","31487.437600000005"
"s10-event-lost-meaning","2","baseline","","{""s10-plan"":[""expire""]}","0","0","2","685","629","1314","","14703.893700000015"
"s11-topic-reversal","2","wakeintent","","{""s11-plan"":[""cancel""]}","0","0","3","1420","1126","2546","","26472.67670000001"
"s11-topic-reversal","2","baseline","","{""s11-plan"":[""cancel""]}","0","0","2","716","414","1130","","10734.508099999977"
"s12-goal-abandoned","2","wakeintent","","{""s12-plan"":[""cancel""]}","0","0","3","1459","1466","2925","","30971.739399999962"
"s12-goal-abandoned","2","baseline","","{""s12-plan"":[""cancel""]}","0","0","2","728","504","1232","","15399.83050000004"
"s13-relationship-broken","2","wakeintent","","{""s13-plan"":[""cancel""]}","0","0","2","947","810","1757","","18176.427900000068"
"s13-relationship-broken","2","baseline","","{""s13-plan"":[""cancel""]}","0","0","2","733","754","1487","","18083.669200000004"
"s14-relationship-distant","2","wakeintent","","{""s14-plan"":[""cancel""]}","0","0","2","1045","598","1643","","16968.848499999964"
"s14-relationship-distant","2","baseline","","{""s14-plan"":[""cancel""]}","0","0","2","729","692","1421","","18954.46710000001"
"s15-four-intents-compete","2","wakeintent","","{""s15-job"":[""resolve""],""s15-exam"":[""defer"",""resolve""],""s15-project"":[""contact""],""s15-parcel"":[""resolve""]}","0","0","7","4793","3337","8130","","90200.86199999996"
"s15-four-intents-compete","2","baseline","","{""s15-job"":[""resolve""],""s15-exam"":[""defer"",""resolve""],""s15-project"":[""contact""],""s15-parcel"":[""resolve""]}","0","0","4","2931","1595","4526","","36173.54110000003"
"s16-two-intents-one-cancelled","2","wakeintent","","{""s16-a"":[""cancel""],""s16-b"":[""cancel""]}","0","1","2","1007","959","1966","","20781.8811"
"s16-two-intents-one-cancelled","2","baseline","","{""s16-a"":[""cancel""],""s16-b"":[""contact""]}","0","0","3","1259","2106","3365","","43767.749700000044"
"s17-similar-learning-update","2","wakeintent","","{""s17-plan"":[""contact""]}","0","0","5","2433","1439","3872","","39712.553199999966"
"s17-similar-learning-update","2","baseline","","{""s17-plan"":[""contact""]}","0","0","3","1056","611","1667","","16899.216599999927"
"s18-similar-content-negative","2","wakeintent","","{}","0","0","2","938","191","1129","","8117.64439999999"
"s18-similar-content-negative","2","baseline","","{}","0","0","1","269","40","309","","2312.9532999999356"
"s19-vague-no-new-reason","2","wakeintent","","{}","0","0","1","465","159","624","","5949.775299999979"
"s19-vague-no-new-reason","2","baseline","","{""s19-plan"":[""expire""]}","0","0","2","699","1000","1699","","24380.448800000013"
"s20-unanswered-outreach","2","wakeintent","","{""s20-plan"":[""silent""]}","0","0","4","2151","1581","3732","","41279.018500000006"
"s20-unanswered-outreach","2","baseline","","{""s20-plan"":[""silent""]}","0","0","2","773","1938","2711","","44274.26450000005"
"s01-normal-job-followup","3","wakeintent","","{""s01-plan"":[""contact""]}","0","0","3","1271","1052","2323","","28176.501200000002"
"s01-normal-job-followup","3","baseline","","{""s01-plan"":[""contact""]}","0","0","3","972","605","1577","","18873.603300000002"
"s02-normal-exam-followup","3","wakeintent","","{""s02-plan"":[""contact""]}","0","0","3","1270","1110","2380","","33419.9294"
"s02-normal-exam-followup","3","baseline","","{""s02-plan"":[""contact""]}","0","0","3","928","597","1525","","17245.921799999996"
"s03-result-known-early","3","wakeintent","","{""s03-plan"":[""resolve""]}","0","0","3","1431","641","2072","","17297.91949999999"
"s03-result-known-early","3","baseline","","{""s03-plan"":[""resolve""]}","0","0","2","718","471","1189","","14026.633600000001"
"s04-task-completed-early","3","wakeintent","","{""s04-plan"":[""resolve""]}","0","0","2","934","444","1378","","12673.482500000013"
"s04-task-completed-early","3","baseline","","{""s04-plan"":[""resolve""]}","0","0","2","720","389","1109","","10983.853000000003"
"s05-explicit-cancel","3","wakeintent","","{""s05-plan"":[""cancel""]}","0","0","2","932","511","1443","","12499.529800000018"
"s05-explicit-cancel","3","baseline","","{""s05-plan"":[""cancel""]}","0","0","2","714","421","1135","","11360.411500000017"
"s06-topic-specific-cancel","3","wakeintent","","{""s06-plan"":[""cancel""]}","0","0","2","940","461","1401","","14556.501099999994"
"s06-topic-specific-cancel","3","baseline","","{""s06-plan"":[""cancel""]}","0","0","2","725","431","1156","","12937.914499999984"
"s07-living-demo-busy-then-free","3","wakeintent","","{""s07-plan"":[""defer"",""contact""]}","0","0","4","2060","2339","4399","","53438.22889999999"
"s07-living-demo-busy-then-free","3","baseline","","{""s07-plan"":[""defer"",""contact""]}","0","0","4","1749","2557","4306","","58101.433500000014"
"s08-user-busy-then-available","3","wakeintent","","{""s08-plan"":[""defer"",""contact""]}","0","0","4","2023","1537","3560","","37519.409799999965"
"s08-user-busy-then-available","3","baseline","","{""s08-plan"":[""defer"",""contact""]}","0","0","4","1637","997","2634","","26735.078900000022"
"s09-trip-expired","3","wakeintent","","{""s09-plan"":[""expire""]}","0","0","1","459","405","864","","9308.585599999991"
"s09-trip-expired","3","baseline","","{""s09-plan"":[""expire""]}","0","0","2","671","1144","1815","","24711.164899999974"
"s10-event-lost-meaning","3","wakeintent","","{""s10-plan"":[""expire""]}","0","0","2","988","872","1860","","22454.175999999978"
"s10-event-lost-meaning","3","baseline","","{""s10-plan"":[""expire""]}","0","0","2","679","529","1208","","13432.249100000015"
"s11-topic-reversal","3","wakeintent","","{""s11-plan"":[""cancel""]}","0","0","3","1462","1162","2624","","27735.417099999962"
"s11-topic-reversal","3","baseline","","{""s11-plan"":[""cancel""]}","0","0","2","710","312","1022","","8961.646400000027"
"s12-goal-abandoned","3","wakeintent","","{""s12-plan"":[""cancel""]}","0","0","3","1469","586","2055","","15703.712699999975"
"s12-goal-abandoned","3","baseline","","{""s12-plan"":[""cancel""]}","0","0","2","721","488","1209","","14972.68239999999"
"s13-relationship-broken","3","wakeintent","","{""s13-plan"":[""cancel""]}","0","0","2","944","818","1762","","25804.08150000003"
"s13-relationship-broken","3","baseline","","{""s13-plan"":[""cancel""]}","0","0","2","727","760","1487","","19895.317299999995"
"s14-relationship-distant","3","wakeintent","","{""s14-plan"":[""cancel""]}","0","0","2","1047","647","1694","","16115.982699999935"
"s14-relationship-distant","3","baseline","","{""s14-plan"":[""cancel""]}","0","0","2","724","619","1343","","14570.342299999902"
"s15-four-intents-compete","3","wakeintent","","{""s15-job"":[""resolve""],""s15-exam"":[""defer"",""resolve""],""s15-project"":[""contact""],""s15-parcel"":[""resolve""]}","0","0","7","4849","3136","7985","","72806.34100000001"
"s15-four-intents-compete","3","baseline","","{""s15-job"":[""resolve""],""s15-exam"":[""defer"",""resolve""],""s15-project"":[""contact""],""s15-parcel"":[""resolve""]}","0","0","4","2945","1771","4716","","41907.30480000004"
"s16-two-intents-one-cancelled","3","wakeintent","","{""s16-a"":[""cancel""],""s16-b"":[""cancel""]}","0","1","2","1004","2934","3938","","58654.811600000015"
"s16-two-intents-one-cancelled","3","baseline","","{""s16-a"":[""cancel""],""s16-b"":[""contact""]}","0","0","3","1254","1345","2599","","36362.9898000001"
"s17-similar-learning-update","3","wakeintent","","{""s17-plan"":[""contact""]}","0","0","5","2434","1621","4055","","42900.890999999945"
"s17-similar-learning-update","3","baseline","","{""s17-plan"":[""contact""]}","0","0","3","1050","717","1767","","25201.679000000004"
"s18-similar-content-negative","3","wakeintent","","{}","0","0","2","938","139","1077","","6492.672099999967"
"s18-similar-content-negative","3","baseline","","{}","0","0","1","269","38","307","","2391.5304999999935"
"s19-vague-no-new-reason","3","wakeintent","","{""s19-plan"":[""silent""]}","0","0","2","986","1197","2183","","26616.42570000002"
"s19-vague-no-new-reason","3","baseline","","{""s19-plan"":[""resolve""]}","0","0","2","700","907","1607","","24723.22009999992"
"s20-unanswered-outreach","3","wakeintent","","{""s20-plan"":[""silent""]}","0","0","4","2180","2445","4625","","55012.67780000006"
"s20-unanswered-outreach","3","baseline","","{""s20-plan"":[""defer""]}","0","0","2","773","1502","2275","","30807.091599999927"
